league_name,n_matches,season_min,season_max,home_win_pct,draw_pct,away_win_pct
England Premier League,3040,2008/2009,2015/2016,45.7,25.8,28.5
France Ligue 1,3036,2008/2009,2015/2016,44.7,28.3,27.1
