strategy,n_bets,final_bankroll,ROI,max_drawdown,avg_gain_per_bet
XGB calib R1 (EV>0),3054,-78.90000000000015,-1.7890000000000015,-1.6552896382920872,-0.058578912901113306
XGB calib R2 (EV>0.05),2575,-55.52000000000005,-1.5552000000000004,-1.5186507635037612,-0.06039611650485437
XGB calib ultra-conservative,955,37.929999999999886,-0.6207000000000011,-0.8541649012795535,-0.06499476439790575
XGB calib EV+confidence,551,61.22999999999993,-0.38770000000000066,-0.6333753744285042,-0.07036297640653358
