strategy,n_bets,final_bankroll,ROI,max_drawdown,avg_gain_per_bet
LogReg R1 (EV>0),2407,-85.62,-1.8562,-1.9185,-0.0771
LogReg R2 (EV>0.05),1525,5.19,-0.9481,-1.0322,-0.0622
"LogReg R3 (favorite, EV>0)",973,68.19,-0.3181,-0.4331,-0.0327
